Год,ФИО,Форма,Специальность,Ср_ЦТ,Ср_аттестат,Общий_балл,Проходной,Математика,Русский,Физика
2021,Иван Иванов,бюджет,Медицина,64.67,9.78,291.8,300,43,56,95
2021,Мария Петров,платное,Педагогика,81.33,9.86,342.6,303,94,82,68
2021,Мария Сидоров,платное,Право,59.33,9.92,277.2,281,44,60,74
2021,Анна Сидоров,платное,Педагогика,64.0,8.35,275.5,333,73,69,50
2021,Сергей Сидоров,платное,Право,68.67,6.28,268.8,292,78,83,45
2021,Мария Петров,платное,Педагогика,43.33,8.86,218.6,330,44,43,43
2021,Петр Иванов,платное,Экономика,53.67,9.36,254.6,342,59,61,41
2021,Сергей Петров,платное,Экономика,72.33,7.94,296.4,296,95,72,50
2021,Петр Сидоров,целевое,Программная инженерия,68.67,6.1,267.0,315,73,42,91
2022,Мария Сидоров,платное,Экономика,75.33,6.74,293.4,340,40,90,96
2022,Сергей Сидоров,бюджет,Программная инженерия,65.33,9.77,293.7,252,85,46,65
2022,Иван Петров,бюджет,Экономика,65.33,9.02,286.2,330,92,40,64
2022,Анна Сидоров,платное,Экономика,74.33,6.7,290.0,323,70,92,61
2022,Петр Иванов,бюджет,Программная инженерия,87.0,9.58,356.8,350,81,89,91
2022,Иван Петров,бюджет,Педагогика,74.67,9.67,320.7,337,84,76,64
2022,Анна Петров,целевое,Педагогика,63.0,6.9,258.0,276,84,56,49
2022,Сергей Сидоров,платное,Медицина,75.33,8.03,306.3,311,84,86,56
2022,Мария Сидоров,платное,Экономика,62.67,9.26,280.6,269,87,56,45
2022,Сергей Иванов,бюджет,Медицина,76.67,7.57,305.7,295,92,67,71
2022,Петр Петров,платное,Медицина,65.67,7.93,276.3,284,70,75,52
2022,Сергей Сидоров,платное,Медицина,66.33,9.94,298.4,250,74,49,76
2022,Иван Петров,платное,Программная инженерия,68.0,6.21,266.1,335,60,83,61
2022,Сергей Сидоров,платное,Медицина,46.0,9.03,228.3,318,45,44,49
2022,Петр Иванов,платное,Медицина,71.33,7.62,290.2,310,91,79,44
2022,Петр Сидоров,бюджет,Право,82.67,7.8,326.0,257,97,70,81
2022,Петр Петров,бюджет,Медицина,57.67,7.89,251.9,291,72,55,46
2022,Мария Иванов,бюджет,Медицина,87.0,9.59,356.9,341,90,85,86
2022,Сергей Иванов,бюджет,Педагогика,75.0,8.25,307.5,278,44,85,96
2022,Иван Сидоров,бюджет,Медицина,73.33,6.32,283.2,255,64,65,91
2022,Анна Петров,платное,Право,85.0,6.9,324.0,332,87,99,69
2022,Анна Сидоров,платное,Право,61.67,9.9,284.0,276,63,48,74
2022,Сергей Петров,платное,Медицина,63.33,7.97,269.7,344,80,55,55
2022,Иван Иванов,целевое,Право,69.0,7.19,278.9,273,98,48,61
2022,Иван Иванов,бюджет,Право,83.33,6.76,317.6,296,98,85,67
2022,Иван Петров,платное,Педагогика,52.67,9.2,250.0,301,51,64,43
2022,Мария Петров,бюджет,Программная инженерия,54.67,6.41,228.1,252,66,47,51
2022,Иван Петров,бюджет,Экономика,82.33,8.5,332.0,289,95,85,67
2022,Петр Петров,бюджет,Программная инженерия,68.33,6.72,272.2,325,62,43,100
2022,Мария Иванов,бюджет,Экономика,81.67,8.27,327.7,292,63,95,87
2022,Иван Сидоров,платное,Медицина,77.33,9.2,324.0,257,83,55,94
2022,Анна Петров,бюджет,Педагогика,70.67,7.07,282.7,276,72,84,56
2022,Петр Иванов,платное,Педагогика,66.67,7.81,278.1,283,96,48,56
2022,Анна Сидоров,бюджет,Программная инженерия,68.0,6.95,273.5,282,58,78,68
2022,Мария Петров,бюджет,Право,78.33,7.01,305.1,342,82,91,62
2022,Сергей Петров,платное,Педагогика,68.0,6.87,272.7,312,61,78,65
2022,Мария Иванов,платное,Педагогика,68.67,9.85,304.5,317,94,46,66
2022,Сергей Петров,платное,Программная инженерия,50.33,9.94,250.4,327,54,50,47
2022,Сергей Иванов,платное,Право,77.67,7.17,304.7,259,96,46,91
2022,Иван Петров,целевое,Педагогика,71.67,9.06,305.6,264,56,82,77
2022,Иван Иванов,платное,Медицина,69.0,9.03,297.3,321,47,82,78
2022,Иван Иванов,бюджет,Педагогика,63.67,8.99,280.9,336,99,49,43
2022,Анна Сидоров,бюджет,Медицина,69.0,9.27,299.7,280,76,71,60
2022,Иван Иванов,платное,Программная инженерия,67.33,6.51,267.1,299,56,93,53
2022,Мария Петров,платное,Педагогика,64.67,9.45,288.5,264,67,62,65
2022,Петр Петров,бюджет,Право,82.33,8.13,328.3,259,99,98,50
2022,Анна Иванов,целевое,Экономика,75.67,8.19,308.9,264,77,85,65
2022,Иван Сидоров,платное,Право,79.0,6.66,303.6,275,52,87,98
2022,Сергей Иванов,бюджет,Экономика,77.33,7.54,307.4,276,59,85,88
2022,Сергей Петров,бюджет,Медицина,63.0,9.4,283.0,290,54,68,67
2022,Петр Иванов,бюджет,Право,81.0,7.83,321.3,305,97,76,70
2022,Петр Иванов,целевое,Программная инженерия,68.33,9.9,304.0,335,50,81,74
2022,Сергей Иванов,платное,Право,80.67,8.65,328.5,317,89,60,93
2022,Петр Петров,платное,Программная инженерия,67.33,6.48,266.8,275,44,77,81
2022,Анна Сидоров,платное,Право,75.33,8.3,309.0,311,46,97,83
2022,Анна Петров,бюджет,Право,76.67,8.94,319.4,275,95,87,48
2022,Анна Петров,платное,Право,57.33,9.82,270.2,322,44,69,59
2022,Сергей Сидоров,бюджет,Педагогика,71.33,9.72,311.2,302,72,42,100
2022,Анна Сидоров,бюджет,Медицина,71.0,9.85,311.5,260,73,58,82
2022,Иван Петров,целевое,Медицина,49.0,9.08,237.8,298,45,51,51
2022,Анна Петров,бюджет,Право,76.0,7.51,303.1,286,97,67,64
2022,Анна Иванов,бюджет,Педагогика,71.33,9.58,309.8,292,74,54,86
2022,Петр Иванов,платное,Педагогика,63.33,6.09,250.9,330,56,48,86
2022,Петр Сидоров,бюджет,Право,70.0,8.81,298.1,268,41,71,98
2022,Иван Сидоров,платное,Экономика,55.0,9.78,262.8,301,77,45,43
2022,Сергей Сидоров,бюджет,Программная инженерия,91.0,6.06,333.6,268,99,94,80
2022,Петр Петров,целевое,Медицина,52.67,8.3,241.0,345,48,45,65
2022,Мария Сидоров,бюджет,Медицина,86.0,7.82,336.2,280,76,97,85
2022,Петр Сидоров,целевое,Программная инженерия,60.33,8.23,263.3,329,54,42,85
2022,Анна Иванов,платное,Право,71.67,6.81,283.1,331,73,74,68
2022,Анна Петров,бюджет,Педагогика,92.33,7.82,355.2,266,95,82,100
2022,Сергей Сидоров,бюджет,Педагогика,76.67,8.05,310.5,307,71,80,79
2022,Анна Петров,бюджет,Экономика,75.0,9.55,320.5,254,78,76,71
2022,Сергей Иванов,платное,Медицина,80.0,6.79,307.9,250,73,77,90
2022,Петр Иванов,бюджет,Право,82.0,9.67,342.7,348,94,62,90
2022,Мария Иванов,платное,Программная инженерия,78.67,6.42,300.2,275,75,90,71
2022,Анна Петров,бюджет,Педагогика,72.0,7.45,290.5,264,79,61,76
2022,Сергей Сидоров,платное,Право,75.0,7.96,304.6,325,45,98,82
2022,Иван Иванов,бюджет,Медицина,76.33,8.22,311.2,323,94,52,83
2022,Мария Сидоров,платное,Медицина,67.33,6.61,268.1,296,74,78,50
2022,Мария Петров,бюджет,Программная инженерия,63.33,7.69,266.9,328,51,41,98
2022,Петр Петров,бюджет,Медицина,75.33,9.42,320.2,250,78,53,95
2022,Мария Сидоров,бюджет,Экономика,58.67,8.23,258.3,334,64,72,40
2022,Сергей Сидоров,платное,Медицина,87.33,7.54,337.4,268,76,99,87
2022,Иван Сидоров,целевое,Экономика,70.0,7.53,285.3,253,98,47,65
2022,Анна Петров,целевое,Педагогика,81.67,9.76,342.6,330,94,84,67
2022,Мария Сидоров,бюджет,Программная инженерия,65.33,7.44,270.4,343,82,70,44
2022,Мария Сидоров,бюджет,Программная инженерия,67.33,7.1,273.0,284,70,46,86
2022,Мария Иванов,бюджет,Программная инженерия,72.33,9.94,316.4,328,71,85,61
2022,Анна Сидоров,бюджет,Педагогика,86.33,7.18,330.8,280,64,97,98
2022,Петр Петров,бюджет,Программная инженерия,72.33,8.54,302.4,336,67,100,50
2022,Петр Иванов,бюджет,Медицина,76.67,8.38,313.8,347,78,64,88
2022,Анна Иванов,платное,Медицина,52.0,6.36,219.6,342,55,47,54
2022,Сергей Иванов,платное,Право,55.0,8.8,253.0,318,46,77,42
2022,Мария Сидоров,бюджет,Программная инженерия,82.0,8.46,330.6,304,97,100,49
2022,Мария Сидоров,бюджет,Экономика,52.67,7.23,230.3,284,46,47,65
2022,Иван Сидоров,бюджет,Экономика,72.0,6.74,283.4,285,45,95,76
2022,Иван Иванов,бюджет,Медицина,71.0,9.95,312.5,310,46,73,94
2022,Иван Иванов,платное,Программная инженерия,67.67,8.58,288.8,332,82,67,54
2022,Сергей Сидоров,платное,Медицина,54.33,7.05,233.5,313,40,82,41
2023,Мария Петров,платное,Педагогика,75.0,8.6,311.0,257,88,95,42
2023,Сергей Сидоров,платное,Экономика,60.0,9.72,277.2,327,69,44,67
2023,Мария Иванов,платное,Право,72.67,7.14,289.4,257,66,55,97
2023,Мария Иванов,платное,Программная инженерия,81.33,7.44,318.4,348,59,93,92
2023,Петр Петров,бюджет,Педагогика,78.33,9.72,332.2,253,66,95,74
2023,Иван Иванов,платное,Педагогика,75.67,8.87,315.7,339,77,66,84
2023,Иван Иванов,целевое,Экономика,67.33,9.9,301.0,346,69,88,45
2023,Сергей Сидоров,платное,Программная инженерия,75.33,6.24,288.4,312,98,74,54
2023,Мария Иванов,платное,Программная инженерия,67.0,7.33,274.3,256,84,67,50
2023,Иван Иванов,бюджет,Медицина,70.67,6.1,273.0,341,99,59,54
2023,Сергей Петров,бюджет,Экономика,88.0,9.89,362.9,341,79,99,86
2023,Петр Петров,платное,Медицина,71.33,8.24,296.4,296,81,80,53
2023,Анна Сидоров,бюджет,Медицина,83.0,7.81,327.1,335,60,94,95
2023,Иван Сидоров,бюджет,Экономика,61.0,6.62,249.2,316,43,52,88
2023,Петр Сидоров,целевое,Медицина,63.33,9.3,283.0,276,55,70,65
2023,Петр Сидоров,бюджет,Право,78.67,9.48,330.8,268,84,100,52
2023,Петр Сидоров,платное,Право,65.33,9.36,289.6,293,70,82,44
2023,Петр Петров,бюджет,Программная инженерия,63.67,8.29,273.9,333,88,41,62
2023,Петр Сидоров,бюджет,Медицина,72.0,9.78,313.8,338,81,57,78
2023,Сергей Сидоров,бюджет,Медицина,73.0,9.52,314.2,301,58,79,82
2023,Мария Сидоров,платное,Программная инженерия,75.67,9.03,317.3,331,94,69,64
2023,Петр Петров,бюджет,Педагогика,88.0,8.84,352.4,332,79,97,88
2023,Мария Иванов,бюджет,Право,83.0,9.76,346.6,257,71,80,98
2023,Мария Сидоров,платное,Медицина,74.67,9.26,316.6,318,98,84,42
2023,Анна Сидоров,платное,Экономика,75.67,6.0,287.0,260,86,42,99
2023,Мария Иванов,целевое,Медицина,74.33,6.84,291.4,289,55,99,69
2023,Анна Иванов,платное,Педагогика,64.33,8.03,273.3,293,56,85,52
2023,Иван Сидоров,бюджет,Право,86.33,8.66,345.6,326,100,93,66
2023,Петр Петров,целевое,Педагогика,77.33,8.12,313.2,328,54,88,90
2023,Сергей Петров,платное,Экономика,61.33,8.87,272.7,276,80,46,58
2023,Мария Петров,платное,Экономика,49.33,9.54,243.4,330,40,43,65
2023,Сергей Петров,бюджет,Медицина,60.33,8.17,262.7,266,88,40,53
2023,Иван Петров,платное,Медицина,55.0,8.86,253.6,266,40,79,46
2023,Сергей Петров,бюджет,Медицина,81.33,8.57,329.7,275,72,82,90
2023,Мария Иванов,платное,Педагогика,50.0,7.04,220.4,342,44,42,64
2023,Мария Иванов,платное,Экономика,55.0,6.53,230.3,265,44,65,56
2023,Иван Иванов,платное,Программная инженерия,77.0,9.87,329.7,251,91,98,42
2023,Иван Иванов,бюджет,Программная инженерия,78.67,6.95,305.5,314,95,79,62
2023,Анна Петров,бюджет,Право,69.0,8.51,292.1,321,44,63,100
2023,Анна Иванов,платное,Педагогика,61.67,6.27,247.7,296,77,51,57
2023,Анна Иванов,бюджет,Право,62.67,7.48,262.8,279,64,48,76
2023,Иван Петров,платное,Медицина,69.33,7.73,285.3,260,80,60,68
2023,Иван Петров,целевое,Право,53.33,7.25,232.5,250,60,51,49
2023,Иван Петров,целевое,Медицина,90.0,7.17,341.7,293,78,94,98
2023,Анна Петров,платное,Экономика,79.67,6.32,302.2,312,72,69,98
2023,Петр Сидоров,платное,Медицина,78.33,6.86,303.6,280,83,92,60
2023,Сергей Сидоров,бюджет,Право,89.33,9.94,367.4,348,90,82,96
2023,Сергей Иванов,платное,Педагогика,63.0,9.34,282.4,278,44,85,60
2023,Мария Сидоров,платное,Медицина,69.33,8.13,289.3,341,63,50,95
2023,Петр Сидоров,бюджет,Право,77.0,7.51,306.1,276,68,81,82
2023,Сергей Сидоров,платное,Программная инженерия,79.33,6.0,298.0,305,83,63,92
2023,Петр Петров,бюджет,Право,83.67,6.92,320.2,329,91,70,90
2023,Анна Петров,бюджет,Медицина,88.67,8.17,347.7,332,95,93,78
2023,Мария Сидоров,целевое,Педагогика,67.67,8.99,292.9,289,73,78,52
2023,Сергей Сидоров,бюджет,Право,93.0,8.67,365.7,342,94,90,95
2023,Анна Сидоров,бюджет,Экономика,62.33,6.18,248.8,323,41,86,60
2023,Анна Сидоров,бюджет,Медицина,75.0,7.91,304.1,328,76,96,53
2023,Мария Иванов,бюджет,Медицина,86.33,6.48,323.8,321,89,83,87
2023,Петр Сидоров,платное,Право,67.0,9.55,296.5,326,87,54,60
2023,Анна Иванов,платное,Педагогика,72.0,8.29,298.9,331,41,98,77
2023,Мария Иванов,бюджет,Педагогика,84.0,9.63,348.3,309,96,91,65
2023,Петр Петров,бюджет,Педагогика,67.67,9.72,300.2,333,74,84,45
2023,Сергей Петров,платное,Медицина,74.67,8.46,308.6,259,63,86,75
2023,Иван Иванов,бюджет,Программная инженерия,91.0,8.47,357.7,302,90,84,99
2023,Иван Петров,бюджет,Педагогика,82.33,9.49,341.9,254,89,95,63
2023,Мария Сидоров,бюджет,Право,69.0,7.75,284.5,265,76,61,70
2023,Петр Сидоров,платное,Право,80.33,7.67,317.7,334,97,89,55
2023,Сергей Петров,платное,Экономика,71.0,7.72,290.2,329,60,83,70
2023,Анна Иванов,платное,Право,43.0,9.19,220.9,277,44,44,41
2023,Петр Иванов,платное,Медицина,69.67,9.85,307.5,308,63,89,57
2023,Сергей Петров,платное,Педагогика,82.33,6.2,309.0,296,52,98,97
2023,Иван Сидоров,платное,Медицина,80.67,7.06,312.6,269,59,95,88
2023,Анна Петров,платное,Право,75.33,7.88,304.8,267,57,81,88
2023,Мария Иванов,платное,Программная инженерия,72.33,7.65,293.5,253,81,51,85
2023,Сергей Сидоров,платное,Программная инженерия,48.0,6.72,211.2,273,53,48,43
2023,Анна Иванов,бюджет,Педагогика,89.0,9.71,364.1,293,99,84,84
2023,Петр Сидоров,бюджет,Медицина,69.0,9.83,305.3,268,74,64,69
2023,Анна Петров,платное,Медицина,65.0,8.37,278.7,263,73,62,60
2023,Мария Петров,платное,Право,57.67,8.94,262.4,285,46,65,62
2023,Сергей Петров,бюджет,Программная инженерия,52.33,7.58,232.8,288,47,44,66
2023,Сергей Иванов,бюджет,Программная инженерия,85.0,6.41,319.1,256,85,100,70
2023,Анна Сидоров,целевое,Медицина,79.67,7.09,309.9,339,93,72,74
2023,Анна Петров,бюджет,Право,78.0,9.7,331.0,280,85,53,96
2023,Петр Иванов,бюджет,Педагогика,80.33,6.43,305.3,305,79,89,73
2023,Анна Петров,платное,Медицина,68.0,9.71,301.1,275,78,49,77
2023,Петр Сидоров,платное,Программная инженерия,65.0,8.85,283.5,251,65,87,43
2023,Сергей Сидоров,бюджет,Экономика,70.0,9.58,305.8,338,98,60,52
2023,Сергей Иванов,бюджет,Программная инженерия,85.0,9.54,350.4,262,88,83,84
2023,Анна Иванов,бюджет,Экономика,86.33,8.85,347.5,339,75,89,95
2023,Анна Иванов,целевое,Право,78.67,7.39,309.9,335,80,78,78
2023,Петр Иванов,платное,Экономика,52.67,8.18,239.8,275,60,43,55
2023,Анна Иванов,бюджет,Программная инженерия,67.0,9.37,294.7,314,44,57,100
2023,Иван Иванов,платное,Экономика,84.0,7.29,324.9,331,89,97,66
2023,Мария Иванов,платное,Программная инженерия,71.0,9.37,306.7,261,74,52,87
2023,Сергей Иванов,бюджет,Экономика,94.0,7.12,353.2,292,87,99,96
2023,Мария Иванов,бюджет,Программная инженерия,77.33,7.83,310.3,331,95,67,70
2023,Петр Петров,платное,Право,57.67,6.12,234.2,262,64,68,41
2023,Петр Иванов,бюджет,Право,82.67,6.16,309.6,292,77,77,94
2023,Мария Петров,платное,Право,59.33,7.16,249.6,342,76,57,45
2023,Мария Сидоров,платное,Педагогика,57.0,6.49,235.9,271,60,55,56
2024,Иван Иванов,платное,Право,74.0,6.64,288.4,333,89,49,84
2024,Иван Петров,бюджет,Медицина,65.67,8.29,279.9,315,97,51,49
2024,Иван Петров,бюджет,Программная инженерия,69.0,9.62,303.2,321,80,58,69
2024,Иван Иванов,целевое,Право,64.67,6.16,255.6,292,100,48,46
2024,Сергей Иванов,платное,Медицина,68.0,7.28,276.8,250,54,60,90
2024,Мария Петров,платное,Медицина,80.33,9.1,332.0,292,86,98,57
2024,Иван Петров,бюджет,Право,67.67,8.74,290.4,254,64,45,94
2024,Сергей Сидоров,платное,Программная инженерия,76.33,9.85,327.5,260,60,91,78
2024,Анна Петров,целевое,Экономика,65.33,9.23,288.3,317,56,51,89
2024,Иван Петров,платное,Программная инженерия,69.67,6.94,278.4,322,83,83,43
2024,Мария Сидоров,платное,Программная инженерия,64.67,6.29,256.9,312,46,99,49
2024,Иван Сидоров,бюджет,Право,76.67,8.96,319.6,282,91,63,76
2024,Петр Сидоров,бюджет,Программная инженерия,79.0,6.37,300.7,345,99,74,64
2024,Петр Сидоров,целевое,Медицина,67.0,8.43,285.3,302,80,63,58
2024,Петр Сидоров,целевое,Программная инженерия,63.67,9.05,281.5,281,72,60,59
2024,Мария Иванов,бюджет,Право,54.33,8.91,252.1,255,49,44,70
2024,Иван Сидоров,платное,Право,83.0,8.81,337.1,262,86,94,69
2024,Анна Сидоров,платное,Педагогика,64.0,6.75,259.5,347,55,70,67
2024,Мария Сидоров,бюджет,Программная инженерия,69.67,9.99,308.9,290,48,66,95
2024,Сергей Сидоров,платное,Педагогика,74.33,7.54,298.4,350,86,86,51
2024,Петр Петров,платное,Медицина,66.67,9.19,291.9,274,46,78,76
2024,Сергей Петров,бюджет,Программная инженерия,79.67,8.5,324.0,254,75,82,82
2024,Сергей Сидоров,платное,Экономика,75.33,9.11,317.1,284,98,78,50
2024,Анна Сидоров,платное,Педагогика,85.0,9.08,345.8,340,89,94,72
2024,Мария Петров,целевое,Педагогика,64.0,9.78,289.8,258,63,67,62
2024,Мария Сидоров,платное,Программная инженерия,50.0,8.36,233.6,255,69,41,40
2024,Мария Петров,платное,Педагогика,57.0,7.74,248.4,281,55,61,55
2024,Иван Сидоров,платное,Право,69.0,6.16,268.6,305,93,56,58
2024,Сергей Сидоров,бюджет,Право,77.0,9.41,325.1,296,65,100,66
2024,Иван Иванов,платное,Медицина,83.67,8.6,337.0,331,77,87,87
2024,Анна Иванов,платное,Программная инженерия,69.33,8.5,293.0,309,83,49,76
2024,Петр Иванов,бюджет,Педагогика,77.67,7.23,305.3,260,40,94,99
2024,Иван Иванов,платное,Педагогика,73.0,9.99,318.9,299,100,53,66
2024,Петр Иванов,бюджет,Педагогика,77.33,7.39,305.9,294,89,57,86
2024,Мария Петров,бюджет,Экономика,67.0,7.31,274.1,307,42,83,76
2024,Иван Петров,бюджет,Программная инженерия,62.67,6.07,248.7,287,82,52,54
2024,Петр Сидоров,платное,Экономика,66.0,6.39,261.9,348,65,86,47
2024,Петр Петров,платное,Педагогика,60.0,6.61,246.1,314,43,83,54
2024,Иван Петров,платное,Медицина,70.0,6.57,275.7,256,50,82,78
2024,Сергей Петров,бюджет,Экономика,70.33,8.5,296.0,311,84,85,42
2024,Мария Петров,платное,Медицина,64.0,6.21,254.1,279,50,72,70
2024,Сергей Петров,платное,Программная инженерия,43.33,9.25,222.5,250,41,47,42
